[Command: /usr/bin/env -u /home/ben/Desktop/TheoremProver/helloword.py]
P12 	B11 	P11 	P21 	B21 	P22 	P31 	|	8 	1 	7 	6 	3
True 	True 	True 	False 	True 	False 	False 	|	False 	False 	False 	False 	True
True 	True 	True 	False 	False 	False 	True 	|	False 	False 	False 	False 	True
True 	True 	True 	False 	True 	False 	True 	|	False 	False 	False 	False 	True
True 	True 	True 	False 	False 	True 	False 	|	True 	False 	False 	True 	True
True 	True 	True 	False 	True 	True 	False 	|	True 	False 	False 	True 	True
True 	True 	True 	False 	False 	True 	True 	|	True 	False 	False 	True 	True
True 	True 	True 	False 	True 	True 	True 	|	True 	False 	False 	True 	True
True 	True 	True 	True 	False 	False 	False 	|	False 	False 	False 	False 	True
True 	True 	True 	True 	True 	False 	False 	|	False 	False 	False 	False 	True
True 	True 	True 	True 	False 	False 	True 	|	False 	False 	False 	False 	True
True 	True 	True 	True 	True 	False 	True 	|	False 	False 	False 	False 	True
True 	True 	True 	True 	False 	True 	False 	|	True 	False 	False 	True 	True
True 	True 	True 	True 	True 	True 	False 	|	True 	False 	False 	True 	True
True 	True 	True 	True 	False 	True 	True 	|	True 	False 	False 	True 	True
True 	True 	True 	True 	True 	True 	True 	|	True 	False 	False 	True 	True
[Finished in 0.136s]
